    SUBJECT,  LINK OF RECOMMENDED CHANNEL,  RECOMMENDED PLAYLIST (IF ANY),   AREA OF EXPERTISE,    LANGUAGE
,,,,
MATHEMATICS,https://youtube.com/@gajendrapurohit?si=PeLcShqh9NWdNgi4,, Engineering Mathematics,Hindi
DATA STRUCTURE AND ALGORITHM ,https://youtube.com/@CodeWithHarry?si=TANytTcFHrbaToKf,https://youtube.com/playlist?list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi&si=gyvLZgwqc-Kf1f3c,,"Hindi, English"
Python ,https://youtube.com/@CodeWithHarry?si=TANytTcFHrbaToKf,https://youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&si=llQ4DLl3Qj080cCv,Coding ,Hindi
Data Structure in C++,https://youtube.com/@CodeHelp?si=gZVKiV3MVGBR520y,https://youtube.com/playlist?list=PLDzeHZWIZsTryvtXdMr6rPh4IDexB5NIA&si=fWEhHlt9qrL-P_cN,Coding ,Hindi
Cryptography & Network Security,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRgJU3EsOYDTW7m6SUmW6kII&si=YHevGuxuFuSnz8k7,Computer Science,English
Analog Electronics,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRiw-GZRqfnlVIBz9dxrqHJS&si=loGpFxJFdn2Tgj76,Electronics,English
C language For Beginners,https://youtube.com/@saurabhexponent1?si=dix9rlXt4jjWXUjp,https://youtube.com/playlist?list=PL7ersPsTyYt1d8g5qaxbE6sjWDzs4D_1v&si=FBPz35_V9y54fvwL,Coding ,Hindi
Computer Organisation & Architecture,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRgLLlzdgiTUKULKJPYc0A4q&si=MESF77m0MlnkKrbM,Computer Science,English
Economics  ,https://youtube.com/@IAEAcademy?si=gYs8wUNeB5VcfZsX,https://youtube.com/playlist?list=PLM9E7EXMIP3gnuxgA3wOVZfhTodsbUEVh&si=09RcOfPdO7Ej64c1,Engineering Economics,"English, Hindi, Bengali"
 Digital Electronics,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRjMH3mWf6kwqiTbT798eAOm&si=FMC0IBm9ve6I6-h7,Electronics,English
Biology ,https://youtube.com/@IAEAcademy?si=gYs8wUNeB5VcfZsX,https://youtube.com/playlist?list=PLM9E7EXMIP3gA8-IoVr3wg019u8fX79__&si=Ku7Sb0UPljiKAOsr,Engineering Biology,"English, Hindi, Bengali"
Data Structure & Algorithm in Java,https://youtube.com/@KunalKushwaha?si=cuezQfGMtHvhczxw,https://youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ&si=TP_zD9RlfQuxNrxK,Coding ,English
Signals and Systems,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRhG6s3jYIU48CqsT5cyiDTO&si=7NE_3asqkgjQcAyR,Electronics,English
